Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
449329,The Man in the Maze,Robert Silverberg,"Silverberg, Robert",,"=""0380022621""","=""9780380022625""",3,3.79,The Hearst Corporation,Mass Market Paperback,192,1969,1968,,2022/08/11,,,read,,,,1,0
17573854,Ancestral Journeys: The Peopling of Europe from the First Venturers to the Vikings,Jean Manco,"Manco, Jean",,"=""050005178X""","=""9780500051788""",4,3.96,Thames  Hudson,Hardcover,304,2013,2013,2022/08/11,2021/09/24,,,read,,,,1,0
27000692,Arkwright,Allen M. Steele,"Steele, Allen M.",,"=""""","=""""",4,3.68,Tor Books,Kindle Edition,337,2016,2016,2022/08/10,2022/08/10,,,read,,,,1,0
55710260,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",3,3.96,Gallery / Saga Press,Kindle Edition,209,2019,2019,2022/08/07,2022/08/07,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.21,Crown Publishing Group (NY),Paperback,544,2004,2003,,2022/08/06,,,read,,,,1,0
26889576,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""039335315X""","=""9780393353150""",5,4.29,W. W. Norton  Company,Paperback,291,2015,2010,,2022/08/01,,,read,,,,1,0
26150770,"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll,"Carroll, Sean",,"=""0525954821""","=""9780525954828""",5,4.18,Dutton,Hardcover,480,2016,2016,2022/07/30,2022/07/10,,,read,,,,1,0
59515764,"Dreadgod (Cradle, #11)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.69,,Kindle Edition,464,2022,2022,2022/07/24,2022/07/24,,,read,,,,1,0
23211076,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",0,4.07,Tor Books,Kindle Edition,401,2015,2015,,2022/04/04,abandoned,abandoned (#23),abandoned,,,,0,0
41819600,The Rosewater Insurrection (The Wormwood Trilogy #2),Tade Thompson,"Thompson, Tade",,"=""""","=""""",4,3.99,Orbit,Kindle Edition,400,2019,2019,2022/07/07,2022/07/06,,,read,,,,1,0
33384706,"The Wee Free Men (Discworld, #30)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.28,HarperCollins,Kindle Edition,404,2009,2003,2022/07/06,2022/07/03,,,read,,,,1,0
8177008,"House of Chains (Malazan Book of the Fallen, #4)",Steven Erikson,"Erikson, Steven",,"=""""","=""""",5,4.34,Tor Books,Kindle Edition,676,2006,2002,2022/06/29,2022/06/01,,,read,,,,1,0
59754222,Firewater Blues (Dublin Trilogy #5),Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",0,4.63,,Kindle Edition,324,2022,2022,,2022/06/01,currently-reading,currently-reading (#6),currently-reading,,,,1,0
20587606,"Tinker, Tailor, Soldier, Spy (The Karla Trilogy, #1)",John le Carré,"Carré, John le",,"=""""","=""""",4,4.05,Penguin Books,Kindle Edition,400,2011,1974,2022/06/01,2022/05/19,,,read,,,,1,0
168646,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0440180295""","=""9780440180296""",3,4.09,Dell,Mass Market Paperback,215,1991,1969,1997/01/01,2007/10/08,,,read,,,,1,0
50202338,"I Have Sinned (McGarry Stateside, #2)",Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",5,4.50,McFori Ink,Kindle Edition,324,2019,2019,2022/05/14,2022/05/09,,,read,,,,1,0
262478,Complete Tales and Poems,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0394716787""","=""9780394716787""",5,4.38,Vintage,Paperback,1027,1975,1849,,2007/11/12,,,read,,,,1,0
43301737,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",5,4.03,Flatiron Books,Kindle Edition,476,2019,2019,2022/05/09,2022/05/02,,,read,,,,1,0
19412365,"The White Rose (The Chronicle of the Black Company, #3)",Glen Cook,"Cook, Glen",,"=""""","=""""",4,4.20,Tor Books,Kindle Edition,318,1990,1985,2017/05/11,2017/05/07,,,read,,,,2,0
316767,The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,Marc Levinson,"Levinson, Marc",,"=""0691123241""","=""9780691123240""",5,3.83,Princeton University Press,Hardcover,392,2006,2006,,2022/04/26,,,read,,,,1,0
57423646,Immune: a Journey into the Mysterious System that Keeps You Alive,Philipp Dettmer,"Dettmer, Philipp",,"=""0593241312""","=""9780593241318""",5,4.61,Random House,Hardcover,368,2021,2021,,2022/04/17,,,read,,,,1,0
19368525,"Shadows Linger (The Chronicle of the Black Company, #2)",Glen Cook,"Cook, Glen",,"=""""","=""""",5,4.18,Tor Books,Kindle Edition,320,1990,1984,2017/05/07,2017/05/01,,,read,,,,2,0
17071437,Cuisine and Empire: Cooking in World History,Rachel Laudan,"Laudan, Rachel",,"=""0520954912""","=""9780520954915""",5,3.93,University of California Press,ebook,482,2013,1996,2022/04/11,2022/03/19,,,read,,,,1,0
36223859,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,"=""""","=""""",5,4.27,Tor.com,Kindle Edition,149,2018,2018,2022/04/04,2022/04/03,,,read,,,,1,0
57175358,"Lords and Ladies (Discworld, #14)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.18,HarperCollins e-books,Kindle Edition,389,2009,1992,2022/04/03,2022/04/03,,,read,,,,1,0
22585,The Collected Stories of Philip K. Dick 5: The Eye of The Sibyl,Philip K. Dick,"Dick, Philip K.",Thomas M. Disch,"=""0806513284""","=""9780806513287""",5,4.20,Citadel,Paperback,395,2000,1987,,2007/10/08,,,read,,,,1,0
6388978,"Small Gods (Discworld, #13)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.31,HarperCollins ebooks,Kindle Edition,355,2009,1992,2022/03/31,2022/03/22,,,read,,,,1,0
33396171,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",5,4.16,Tor.com,Kindle Edition,155,2017,2017,2022/03/21,2022/03/19,,,read,,,,1,0
17706115,"The Black Company (The Chronicle of the Black Company, #1)",Glen Cook,"Cook, Glen",,"=""""","=""""",4,3.93,Tor Books,Kindle Edition,323,1992,1984,2017/05/01,2017/05/01,,,read,,,,2,0
52189857,"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""""","=""""",0,4.50,Harper Voyager,Kindle Edition,780,2020,2020,,2022/03/01,currently-reading,currently-reading (#5),currently-reading,,,,1,0
38618329,"Last Orders (Dublin Trilogy, #3)",Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",4,4.45,McFori Ink,Kindle Edition,352,2018,2018,2022/03/01,2022/02/25,,,read,,,,1,0
41861004,Disaster Inc (McGarry Stateside #1),Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",4,4.35,McFori Ink,Kindle Edition,304,2018,2018,2022/02/25,2022/02/23,,,read,,,,1,0
58323801,"Dead Man's Sins (Dublin Trilogy, #4)",Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",5,4.66,McFori Ink,Kindle Edition,276,2021,2021,2022/02/23,2022/02/23,,,read,,,,1,0
57401777,Scharlette Kills 99% of Germs (Scharlette Day Book 2),Sam Bowring,"Bowring, Sam",,"=""""","=""""",3,4.30,,Kindle Edition,,2021,,2022/02/21,2022/02/18,,,read,,,,1,0
45997044,Scharlette Doesn't Matter and Goes Time Travelling,Sam Bowring,"Bowring, Sam",,"=""""","=""""",4,4.13,,Kindle Edition,365,,2019,2022/02/17,2022/02/14,,,read,,,,1,0
38321266,"The Expert System's Brother (Expert System, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",3,3.96,Tor.com,Kindle Edition,160,2018,2018,2022/02/14,2022/02/11,,,read,,,,1,0
17448060,The Children of Húrin,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Alan       Lee","=""""","=""""",0,4.00,Houghton Mifflin Harcourt,Kindle Edition,322,2012,2007,,2019/04/12,to-read,to-read (#4),to-read,,,,0,0
40088463,"Rosewater (The Wormwood Trilogy, #1)",Tade Thompson,"Thompson, Tade",,"=""""","=""""",5,3.76,Orbit,Kindle Edition,400,2017,2017,2022/02/11,2021/07/21,,,read,,,,1,0
59751145,Four Roads Cross (The King's Watch #10),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",5,4.40,,Kindle Edition,374,2021,,2022/02/05,2022/01/31,,,read,,,,1,0
58190632,Five Leaf Clover (The King's Watch #9),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.44,,Kindle Edition,247,2021,,2022/01/31,2022/01/28,,,read,,,,1,0
11297839,Stand on Zanzibar,John Brunner,"Brunner, John",,"=""""","=""""",0,3.94,Orb Books,Kindle Edition,576,2011,1968,,2019/04/22,abandoned,abandoned (#22),abandoned,,,,0,0
308060,"The Age of Extremes, 1914-1991",Eric J. Hobsbawm,"Hobsbawm, Eric J.",,"=""0679730052""","=""9780679730057""",0,4.28,Vintage Books,Paperback,627,1996,1994,,2017/03/30,abandoned,abandoned (#21),abandoned,,,,0,0
6570896,The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,"Zimbardo, Philip G.",,"=""""","=""""",0,3.92,,Kindle Edition,578,,2007,,2019/07/14,abandoned,abandoned (#20),abandoned,,,,0,0
56140992,The Perpetual Astonishment of Jonathon Fairfax,Christopher Shevlin,"Shevlin, Christopher",,"=""""","=""""",0,3.77,Albatross Publishing,Kindle Edition,313,2020,2012,,2021/07/23,abandoned,abandoned (#19),abandoned,,,,0,0
57613148,"Marshlight (A King's Watch Story, #6)",Lucy Campbell,"Campbell, Lucy",Mark   Hayden,"=""""","=""""",4,4.29,,Kindle Edition,,2021,,2022/01/28,2022/01/27,,,read,,,,1,0
57070496,"Fire Games (A King's Watch Story, #5)",Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.39,,Kindle Edition,140,2021,2021,2022/01/26,2022/01/25,,,read,,,,1,0
55845872,Six Furlongs (The Kings Watch #8),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.43,Paw Press,Kindle Edition,288,2020,,2022/01/25,2022/01/22,,,read,,,,1,0
53917900,French Leave (King's Watch Story #4),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.35,,Kindle Edition,128,2020,,2022/01/22,2022/01/21,,,read,,,,1,0
53258136,The Seventh Star (The King's Watch #7),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.39,Paw Press,Kindle Edition,358,2020,,2022/01/21,2022/01/17,,,read,,,,1,0
49234045,Ring of Troth (A King's Watch Story #3),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.35,,Kindle Edition,94,2019,,2022/01/17,2022/01/17,,,read,,,,1,0
51058268,Wings over Water (A King's Watch Story #2),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.25,Paw Press,Kindle Edition,70,2019,,2022/01/17,2022/01/17,,,read,,,,1,0
57671470,Quant (Colony #1),Richard F. Weyand,"Weyand, Richard F.",,"=""""","=""""",0,4.33,Amazon Digital Services,Kindle Edition,327,2021,,,2022/01/17,currently-reading,currently-reading (#4),currently-reading,,,,1,0
55878335,"Day Zero (Sea of Rust, #0)",C. Robert Cargill,"Cargill, C. Robert",,"=""""","=""""",5,4.02,Harper Voyager,Kindle Edition,301,2021,2021,2022/01/15,2022/01/05,,,read,,,,1,0
49095884,Eight Kings (The King's Watch #6),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.22,,Kindle Edition,388,2019,,2022/01/14,2022/01/14,,,read,,,,1,0
44035637,"Phantom Stag (A King's Watch Story, #1)",Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.22,Amazon Digital Services,Kindle Edition,80,2019,,2022/01/10,2022/01/08,,,read,,,,1,0
51058282,Nine of Wands (The King's Watch #5),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.36,Paw Press,Kindle Edition,282,2019,,2022/01/08,2021/12/04,,,read,,,,1,0
10377639,"Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson,"Erikson, Steven",,"=""""","=""""",5,4.44,Tor Books,Kindle Edition,945,2006,2001,2022/01/04,2021/11/23,,,read,,,,1,0
43538376,Tenfold (The King's Watch #4),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.36,Paw Press,Kindle Edition,271,2019,,2021/12/04,2021/12/02,,,read,,,,1,0
41036780,The Eleventh Hour (The King's Watch #3),Mark   Hayden,"Hayden, Mark",,"=""""","=""""",3,4.30,Paw Press,Kindle Edition,268,2018,,2021/12/02,2021/12/01,,,read,,,,1,0
36533404,"The 12 Dragons of Albion (The King's Watch, #2)",Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.36,Paw Press,Kindle Edition,331,2017,2017,2021/12/01,2021/11/29,,,read,,,,1,0
36533380,"The 13th Witch (The King's Watch, #1)",Mark   Hayden,"Hayden, Mark",,"=""""","=""""",4,4.07,Paw Press,Kindle Edition,253,2017,2017,2021/11/29,2021/11/28,,,read,,,,1,0
39704534,The Night Manager,John le Carré,"Carré, John le",,"=""""","=""""",4,3.83,Ballantine Books,Kindle Edition,578,2015,1993,2021/11/28,2021/10/27,,,read,,,,1,0
53546927,The Doors of Eden,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",5,3.87,Orbit,Kindle Edition,608,2020,2020,2021/11/23,2021/11/22,,,read,,,,1,0
54837782,Primordial Earth #1 (The Extinction Series),Baileigh Higgins,"Higgins, Baileigh",,"=""""","=""""",3,4.08,,Kindle Edition,174,2020,2020,2021/11/23,2021/11/22,,,read,,,,1,0
18902299,"Raising Steam (Discworld, #40)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,3.99,Doubleday,Kindle Edition,384,2014,2013,2021/11/22,2021/11/22,,,read,,,,1,0
57640065,"Reaper (Cradle, #10)",Will Wight,"Wight, Will",,"=""""","=""""",5,4.72,Hidden Gnome Publishing,Kindle Edition,465,2021,2021,2021/11/21,2021/11/10,,,read,,,,2,0
55595995,"Bloodline (Cradle, #9)",Will Wight,"Wight, Will",,"=""""","=""""",5,4.52,Hidden Gnome Publishing,Kindle Edition,378,2021,2021,2021/04/18,2021/04/12,,,read,,,,2,0
6567844,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.39,HarperCollins,Kindle Edition,387,2009,1993,2021/11/10,2021/11/05,,,read,,,,1,0
57906712,"New York (30,000 B.C. Chronicles #6)",Matthew Thayer,"Thayer, Matthew",,"=""""","=""""",4,4.33,,Kindle Edition,,2021,,2021/11/05,2021/10/27,,,read,,,,1,0
9754945,"Deadhouse Gates (Malazan Book of the Fallen, #2)",Steven Erikson,"Erikson, Steven",,"=""""","=""""",5,4.26,Tor Books,Kindle Edition,868,2006,2000,2021/10/27,2021/09/27,,,read,,,,1,0
8134944,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,"=""""","=""""",5,3.91,Tor Books,Kindle Edition,495,2004,1999,2021/09/27,2021/09/24,,,read,,,,1,0
27399256,Harry Harrison Super Pack: Deathworld;<br/>Deathworld 2;<br/>Planet of The Damned;<br/>The Stainless Steel Rat and The Misplaced Battleship;<br/>The K-Factor;<br/>The Velvet ... of the Law;<br/>Navy Day;<br/>Toy Shop,Harry Harrison,"Harrison, Harry",,"=""""","=""""",0,3.97,Positronic Publishing,Kindle Edition,586,2015,,,2021/06/11,to-read,to-read (#11),to-read,,,,0,0
36136879,Angels in the Moonlight (Dublin Trilogy #0),Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",4,4.42,McFori Ink,Kindle Edition,324,2017,2017,2021/09/17,2021/06/28,,,read,,,,1,0
23719305,How Emotions Are Made: The Secret Life of the Brain,Lisa Feldman Barrett,"Barrett, Lisa Feldman",,"=""0544133315""","=""9780544133310""",4,4.11,Mariner Books,Hardcover,448,2017,2016,2021/08/10,2021/05/05,,,read,,,,1,0
12657371,"Snuff (Discworld, #39)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.17,Harper,Kindle Edition,423,2011,2011,2021/09/17,2021/09/13,,,read,,,,1,0
52702097,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",5,4.25,Bloomsbury Publishing,Kindle Edition,246,2020,2020,2021/09/13,2021/09/11,,,read,,,,1,0
6567838,"Night Watch (Discworld, #29)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.48,HarperCollins e-books,Kindle Edition,484,2009,2002,2021/09/11,2021/09/09,,,read,,,,1,0
58875560,"Pyramids (Discworld, #7)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,3.92,HarperCollins,Kindle Edition,368,2009,1989,2021/09/09,2021/09/05,,,read,,,,1,0
6567840,"Feet of Clay (Discworld, #19)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.30,HarperCollins ebooks,Kindle Edition,405,2009,1996,2021/09/04,2021/09/01,,,read,,,,1,0
50154683,"The Saints of Salvation (Salvation Sequence, #3)",Peter F. Hamilton,"Hamilton, Peter F.",,"=""""","=""""",4,4.40,Del Rey,Kindle Edition,576,2020,2020,2021/09/01,2021/08/08,,,read,,,,1,0
44020966,"Salvation Lost (Salvation Sequence, #2)",Peter F. Hamilton,"Hamilton, Peter F.",,"=""""","=""""",4,4.30,Del Rey,Kindle Edition,494,2019,2019,2021/08/08,2021/07/28,,,read,,,,1,0
19095568,Across a Billion Years,Robert Silverberg,"Silverberg, Robert",,"=""""","=""""",0,3.87,Open Road Media,Kindle Edition,256,2013,1969,,2021/07/03,abandoned,abandoned (#18),abandoned,,,,0,0
37684919,"Salvation (Salvation Sequence, #1)",Peter F. Hamilton,"Hamilton, Peter F.",,"=""""","=""""",5,4.14,Del Rey,Kindle Edition,552,2018,2018,2021/07/28,2021/07/23,,,read,,,,1,0
51579220,Carrier Wave,Robert Brockway,"Brockway, Robert",,"=""""","=""""",4,4.05,Brockwar Press: The Fightin'est Press in the West,Kindle Edition,843,2020,2015,2021/07/21,2021/07/12,,,read,,,,1,0
8444621,Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher,"Deutscher, Guy",,"=""080508195X""","=""9780805081954""",4,3.91,Metropolitan Books,Hardcover,304,2010,2010,2021/07/05,2021/06/12,,,read,,,,1,0
1857440,"John Dies at the End (John Dies at the End, #1)",David  Wong,"Wong, David",Jason Pargin,"=""0978970764""","=""9780978970765""",5,3.89,Permuted Press,Paperback,362,2007,2007,2013/05/22,2012/11/09,,,read,,,,2,0
29763954,"They Mostly Come Out at Night (Yarnsworld, #1)",Benedict Patrick,"Patrick, Benedict",,"=""""","=""""",3,3.65,Benedict Patrick,Kindle Edition,202,2016,2016,2021/06/28,2018/01/21,,,read,,,,1,0
53568398,"The Long Bad Friday (Oddjobs, #5)",Heide Goody,"Goody, Heide",Iain Grant,"=""""","=""""",4,4.40,,Kindle Edition,602,2021,2021,2021/06/26,2021/06/20,,,read,,,,1,0
33969477,"The Day That Never Comes (Dublin Trilogy, #2)",Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",4,4.27,McFori Ink,Kindle Edition,341,2017,2017,2021/06/20,2021/06/19,,,read,,,,1,0
31817712,A Man With One of Those Faces (Dublin Trilogy #1),Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",4,4.07,McFori Ink,Kindle Edition,334,2016,2016,2021/06/19,2021/06/15,,,read,,,,1,0
52328591,The Final Game (MCM Investigations #1),Caimh McDonnell,"McDonnell, Caimh",,"=""""","=""""",4,4.40,McFori Ink,Kindle Edition,368,2020,2020,2021/06/15,2021/06/13,,,read,,,,1,0
2037559,"Deathworld 1 (Deathworld, #1)",Harry Harrison,"Harrison, Harry",,"=""0722144857""","=""9780722144855""",5,3.94,Orbit,Paperback,157,1983,1960,,2021/06/13,,,read,,,,1,0
2173076,"Deathworld 2 (Deathworld, #2)",Harry Harrison,"Harrison, Harry",,"=""0722144849""","=""9780722144848""",5,3.78,Sphere,Hardcover,160,1984,1963,2021/06/13,2021/06/13,,,read,,,,1,0
42070712,Infernal Fire (Spellslinger Chronicles #1),Joseph J. Bailey,"Bailey, Joseph J.",,"=""""","=""""",2,3.73,,Kindle Edition,251,2018,,2021/06/12,2021/06/07,,,read,,,,1,0
35910640,This Is the Way the World Ends: an Oral History of the Zombie War,Keith Taylor,"Taylor, Keith",,"=""""","=""""",4,4.12,,Kindle Edition,359,2017,2017,2021/06/07,2021/06/03,,,read,,,,1,0
34943643,Agency (Jackpot #2),William Gibson,"Gibson, William",,"=""""","=""""",4,3.79,Berkley,Kindle Edition,413,2020,2020,2021/06/03,2021/05/17,,,read,,,,1,0
49478873,Dark Ouroboros,Michael Barley,"Barley, Michael",,"=""""","=""""",3,4.33,,Kindle Edition,272,2019,,2021/05/17,2021/05/17,,,read,,,,1,0
18955346,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,Bethany McLean,"McLean, Bethany",Peter Elkind,"=""""","=""""",5,4.20,Portfolio,Kindle Edition,521,2013,2003,2021/05/02,2021/05/02,,,read,,,,1,0
52777597,Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,"Brooks, Max",,"=""""","=""""",4,3.92,Del Rey,Kindle Edition,304,2020,2020,2021/04/23,2021/03/16,,,read,,,,1,0
57175436,"Empire in Black and Gold (Shadows of the Apt, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,3.71,Tor,Kindle Edition,625,2008,2008,2021/04/12,2021/04/12,,,read,,,,1,0
8890322,"Fully Present: The Science, Art, and Practice of Mindfulness",Susan L. Smalley,"Smalley, Susan L.",Diana Winston,"=""""","=""""",5,3.83,,Kindle Edition,290,,2010,2021/04/10,2020/06/14,,,read,,,,1,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",5,3.85,Tor Books,Paperback,1006,2006,2004,2006/08/01,2007/10/08,,,read,,,,2,1
8123046,"Look to Windward (Culture, #7)",Iain M. Banks,"Banks, Iain M.",,"=""""","=""""",3,4.21,Pocket Books,Kindle Edition,384,2001,2000,2021/03/14,2020/11/24,,,read,,,,1,0
56078386,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",5,4.30,Ethan Ellenberg Literary Agency,Kindle Edition,608,2021,2020,2021/02/20,2021/02/08,,,read,,,,1,0
64582,Chaos: Making a New Science,James Gleick,"Gleick, James",,"=""0140092501""","=""9780140092509""",5,4.03,Penguin Group,Paperback,352,1988,1987,,2021/03/09,,,read,,,,1,0
3133367,Europe Between the Oceans: 9000 BC-AD 1000,Barry Cunliffe,"Cunliffe, Barry",,"=""0300119232""","=""9780300119237""",4,4.14,Yale University Press,Hardcover,528,2008,2008,2021/02/19,2021/02/04,,,read,,,,1,0
53520701,The Wrack,John Bierce,"Bierce, John",,"=""""","=""""",4,4.04,,Kindle Edition,232,2020,2020,2021/01/29,2021/01/13,,,read,,,,1,0
769461,"The Prehistory of the Mind: The Cognitive Origins of Art, Religion and Science",Steven Mithen,"Mithen, Steven",,"=""0500281009""","=""9780500281000""",5,4.01,Thames  Hudson,Paperback,288,1999,1996,,2021/01/26,,,read,,,,1,0
36513380,"Rome (30,000 B.C. Chronicles #5)",Matthew Thayer,"Thayer, Matthew",,"=""""","=""""",4,4.58,,Kindle Edition,523,2017,,2021/01/13,2021/01/02,,,read,,,,1,0
7015403,The Gifts of Imperfection,Brené Brown,"Brown, Brené",,"=""159285849X""","=""9781592858491""",4,4.24,Hazelden Publishing,Paperback,137,2010,2010,,2021/01/03,,,read,,,,1,0
